PCT,First Name,Last Name,Attendance,Votes Available Legend,"Remote Town
Meeting Vote","Article 1:
Reports","Consent
Agenda:
Articles 2-6","Article 7: A)
Appropriation
of Capital
Expeditures","Article 7: B)
Appropriation
of Capital
Expenditures","Article 8:
OPEB
Stabilization
Fund","Motion to
Terminate
Debate:
Discussion
on Article 9
Crockett
Amendment","Article 9
Crockett
Amendment:
FY21 Budget
Appropriation","Motion to
Terminate
Debate:
Discussion on
Article 9 Main
Motion","Aricle 9: FY21
Budget
Appropriation
Main Motion","Aricle 10: FY21
Community
Preservation
Committee
Budget and
Projects","Motion to
Terminate
Debate:
Discussion
on Article 11","Article 11:
Community
Preservation
Committee
Amend 2018
Appropriation
for Belmont
Housing","Article 12: Home
Rule Petition for
Special Act of the
Massachusetts
Legislature -
Remote
Participation of
Town Meeting"
2,Julia,Weeks,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,Elizabeth,Weintraub,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
1,Jack,Weis,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Peter,Whitmer,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor
5,Jeanne,Widmer,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
5,Casey,Williams,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
7,Glenn,Wong,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,Yes / In Favor
1,Elizabeth,Woo,Barely here...,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
5,Roger,Wrubel,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
6,Julie,Wu,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
8,Gi,Yoon-Huang,"Here, with gusto!",,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,No / Opposed,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
3,Michelle,Young,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Abstain,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,No / Opposed,Yes / In Favor,Yes / In Favor
1,Kristen,Zecchi,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,-,-,-,No / Opposed,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
2,David,Zipkin,Here,,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor,Yes / In Favor
